Rank,Coach,School, Total Pay ,Conf,Scheduled School Pay,Contract Year Pandemic Reduction,Actual School Pay,Total Pandemic Reduction,School Buyout,,as_Rank,as_Coach,as_School,as_Total Pay,as_Conf,as_Scheduled School Pay,as_Contract Year Pandemic Reduction,as_Actual School Pay,as_Total Pandemic Reduction,School Buyout,,s_Rank,s_Coach,s_School,s_Total Pay,s_Conf,s_Scheduled School Pay,s_Contract Year Pandemic Reduction,s_Actual School Pay,s_Total Pandemic Reduction,School Buyout,,Team,Win-Loss Record,Win %,MOV,ATS +/-
46,Karl Dorrell,Colorado," $3,240,000 ",Pac-12,"$3,400,000 ","$160,000*","$3,240,000 ","$320,000*","$14,800,000 ",,46,Tom Manning,Iowa State,"$810,000 ",Big 12,"$900,000 ","$90,000 ","$810,000 ","$90,000 ",—,,46,Dwain Bradshaw,Washington State,"$206,250 ",Pac-12,"$225,000 ","$18,750 ","$206,250 ","$18,750 ",—,,TX Christian,6/4/2000,60.00%,6.6,2.5
47,Dave Doeren,NC State," $3,180,000 ",ACC,"$3,500,000 ","$325,000*","$3,175,000 ","$460,417*","$7,656,250 ",,47,Jon Heacock,Iowa State,"$810,000 ",Big 12,"$900,000 ","$90,000 ","$810,000 ","$90,000 ",—,,47,A.J. Artis,Tennessee,"$200,000 ",SEC,"$200,000 ",$0 ,"$200,000 ",$0 ,—,,Central FL,6/4/2000,60.00%,9,-3.8
48,Scott Satterfield,Louisville," $3,087,500 ",ACC,"$3,250,000 ","$162,500 ","$3,087,500 ","$325,000 ","$7,515,625 ",,48,Sean Gleeson,Rutgers,"$805,000 ",Big Ten,"$805,000 ",$0 ,"$805,000 ",$0 ,—,,48,Domenic Reno,Purdue,"$190,000 ",Big Ten,"$200,000 ","$10,000 ","$190,000 ","$30,000 ",—,,Georgia State,6/4/2000,60.00%,1.6,3.5
49,Jimmy Lake,Washington," $3,040,972 ",Pac-12,"$3,100,000 ","$59,028*","$3,040,972 ","$92,088*","$10,416,667 ",,49,Phil Parker,Iowa,"$801,000 ",Big Ten,"$890,000 ","$89,000 ","$801,000 ","$89,000 ",—,,49,Brian Johnson,Arizona,"$158,866 ",Pac-12,"$175,000 ","$16,134 ","$158,866 ","$16,134 ",—,,TX-San Ant,7/5/2000,58.30%,2.6,6.8
50,Matt Wells,Texas Tech," $3,034,083 ",Big 12,"$3,100,000 ","$65,917*","$3,034,083 ","$193,083*","$7,099,601 ",,50,Charles Kelly,Alabama,"$800,000 ",SEC,"$800,000 ",$0 ,"$800,000 ",$0 ,—,,50,Cullen Carroll,Stanford,—,Pac-12,—,—,—,—,—,,Wisconsin,4/3/2000,57.10%,7.7,-2.1
51,Nick Rolovich,Washington State," $3,000,000 ",Pac-12,"$3,000,000 ",$0*,"$3,000,000 ","$181,250*","$4,300,000 ",,51,Will Friend,Tennessee,"$800,000 ",SEC,"$800,000 ",$0 ,"$800,000 ",$0 ,—,,51,Noel Durfey,Duke,—,ACC,—,—,—,—,—,,Oregon,4/3/2000,57.10%,3,-4.6
52,Neal Brown,West Virginia," $2,997,500 ",Big 12,"$3,155,000 ","$157,500*","$2,997,500 ","$312,500*","$20,462,500 ",,52,Jim Knowles,Oklahoma State,"$800,000 ",Big 12,"$800,000 ",$0 ,"$800,000 ",$0 ,—,,52,Corey Campbell,Baylor,—,Big 12,—,—,—,—,—,,Hawaii,5/4/2000,55.60%,-1.3,-0.6
53,David Cutcliffe,Duke," $2,957,001 ",ACC,"$2,957,001 ",—,"$2,957,001 ",—,—,,53,Kasey Dunn,Oklahoma State,"$800,000 ",Big 12,"$800,000 ",$0 ,"$800,000 ",$0 ,—,,53,Don Sommer,Texas Christian,—,Big 12,—,—,—,—,—,,Fla Atlantic,5/4/2000,55.60%,1.4,-3.3
54,Sam Pittman,Arkansas," $2,925,000 ",SEC,"$3,000,000 ","$75,000*","$2,925,000 ","$175,000*",—,,54,Scott Linehan,Louisiana State,"$795,000 ",SEC,"$805,000 ","$10,000 ","$795,000 ","$40,000 ",—,,54,Ben Iannacchione,Kansas,—,Big 12,—,—,—,—,—,,Auburn,6/5/2000,54.50%,0.4,0.2
55,Chris Klieman,Kansas State," $2,915,292 ",Big 12,"$3,100,000 ","$184,708*","$2,915,292 ","$360,750*","$15,493,750 ",,55,Adam Fuller,Florida State,"$788,000 ",ACC,"$800,000 ","$12,000 ","$788,000 ","$24,000 ",—,,55,Matt Balis,Notre Dame,—,ACC,—,—,—,—,—,,Pittsburgh,6/5/2000,54.50%,4.5,2
56,Geoff Collins,Georgia Tech," $2,883,115 ",ACC,"$3,200,000 ","$317,885*","$2,882,115 ","$317,885*","$14,066,667 ",,56,Brent Pry,Penn State,"$786,633 ",Big Ten,—,—,—,—,—,,56,Michael Stacchiotti,Pittsburgh,—,ACC,—,—,—,—,—,,Boston Col,6/5/2000,54.50%,-0.5,3.3
57,Lance Leipold,Kansas," $2,800,000 ",Big 12,"$2,800,000 ",$0*,"$2,800,000 ",$0*,"$10,651,667 ",,57,Brian Ferentz,Iowa,"$774,600 ",Big Ten,"$860,000 ","$86,000 ","$774,000 ","$86,000 ",—,,57,David Feeley,Miami,—,ACC,—,—,—,—,—,,Virginia,5/5/2000,50.00%,1.1,0.4
58,Shane Beamer,South Carolina," $2,750,000 ",SEC,"$2,750,000 ",$0 ,"$2,750,000 ",$0 ,"$7,298,958 ",,58,Erik Chinander,Nebraska,"$773,333 ",Big Ten,"$800,000 ","$26,667 ","$773,333 ","$26,667 ",—,,58,Aaron Ausmus,Southern California,—,Pac-12,—,—,—,—,—,,LA Tech,5/5/2000,50.00%,-8,-3.4
59,Jedd Fisch,Arizona," $2,683,449 ",Pac-12,"$2,300,000 ","$16,551*","$2,283,449 ","$16,551*","$6,695,000 ",,59,Andy Avalos,Oregon,"$762,365 ",Pac-12,"$815,000 ","$52,635 ","$762,365 ","$88,677 ",—,,59,Brandon Hourigan,Wake Forest,—,ACC,—,—,—,—,—,,San Diego St,4/4/2000,50.00%,6.9,3.2
